logdate,url,ip,city,state,country,category,age,gender
02-03-2012,http://www.acme.com/SH55126545/VD55165149,67.52.140.5,ft mitchell,AL,usa,electronics,53.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55165149,67.52.140.5,ft mitchell,AL,usa,electronics,53.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55163347,68.118.76.228,newport,OR,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,68.118.76.228,newport,OR,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,68.118.76.228,newport,OR,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,108.0.107.56,manhattan beach,CA,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,108.91.156.149,lincoln,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,68.118.76.228,newport,OR,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,67.164.59.96,san rafael,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,97.117.45.31,salt lake city,UT,usa,home&garden,34.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55173061,64.203.56.179,anaheim,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,64.203.56.179,anaheim,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,24.125.36.224,henrico,VA,usa,home&garden,32.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55173061,64.203.56.179,anaheim,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,64.203.56.179,anaheim,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,99.95.210.187,san diego,CA,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,99.95.210.187,san diego,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,69.209.61.144,chicago,IL,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,99.95.210.187,san diego,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,24.125.36.224,henrico,VA,usa,home&garden,32.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55149415,99.95.210.187,san diego,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,76.107.152.112,jackson,MS,usa,home&garden,37.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55170364,24.125.36.224,henrico,VA,usa,home&garden,32.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55173061,64.203.56.179,anaheim,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,76.107.152.112,jackson,MS,usa,home&garden,37.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55170364,76.107.152.112,jackson,MS,usa,home&garden,37.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55170364,76.107.152.112,jackson,MS,usa,home&garden,37.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55170364,76.107.152.112,jackson,MS,usa,home&garden,37.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55170364,24.125.36.224,henrico,VA,usa,home&garden,32.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55173061,69.209.61.144,chicago,IL,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55165149,108.0.107.56,manhattan beach,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,70.138.59.178,houston,TX,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,108.91.156.149,lincoln,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,76.107.152.112,jackson,MS,usa,home&garden,37.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,108.0.107.56,manhattan beach,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55165149,108.0.107.56,manhattan beach,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,173.81.181.129,hartford,WV,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,128.252.249.65,st louis,MO,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,128.252.249.65,st louis,MO,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,174.130.201.19,newark,OH,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,151.213.91.159,newark,OH,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,151.213.91.159,newark,OH,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,108.205.249.86,hialeah,FL,usa,handbags,22.0,F
02-03-2012,http://www.acme.com/SH55126545/VD55173061,108.205.249.86,hialeah,FL,usa,handbags,22.0,F
02-03-2012,http://www.acme.com/SH5580165/VD55173281,76.121.103.69,bothell,WA,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,199.184.238.216,azusa,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,199.184.238.216,azusa,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,108.0.107.56,manhattan beach,CA,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,76.107.152.112,jackson,MS,usa,handbags,37.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55173061,76.107.152.112,jackson,MS,usa,handbags,37.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,108.0.107.56,manhattan beach,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,108.205.249.86,hialeah,FL,usa,handbags,22.0,F
02-03-2012,http://www.acme.com/SH55126545/VD55165149,108.0.107.56,manhattan beach,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,76.121.103.69,bothell,WA,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,76.107.152.112,jackson,MS,usa,home&garden,37.0,U
02-03-2012,http://www.acme.com/SH559040/VD55175948,199.184.238.216,azusa,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,173.218.73.91,ozark,MO,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,71.165.113.166,glendora,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,71.165.113.166,glendora,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,71.165.113.166,glendora,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,74.72.108.111,astoria,NY,usa,home&garden,39.0,F
02-03-2012,http://www.acme.com/SH559040/VD55175948,72.60.0.10,beltsville,MD,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,64.118.123.193,mariposa,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,64.118.123.193,mariposa,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,64.118.123.193,mariposa,CA,usa,computers,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,64.118.123.193,mariposa,CA,usa,computers,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,74.65.131.244,north yarmouth,ME,usa,handbags,54.0,F
02-03-2012,http://www.acme.com/SH559040/VD55175948,74.65.131.244,north yarmouth,ME,usa,handbags,54.0,F
02-03-2012,http://www.acme.com/SH559040/VD55175948,74.65.131.244,north yarmouth,ME,usa,handbags,54.0,F
02-03-2012,http://www.acme.com/SH559040/VD55175948,74.65.131.244,north yarmouth,ME,usa,handbags,54.0,F
02-03-2012,http://www.acme.com/SH55126545/VD55173061,98.24.198.156,fayetteville,NC,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,98.24.198.156,fayetteville,NC,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,174.102.156.85,cedarburg,WI,usa,computers,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55173061,75.108.10.94,clovis,NM,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,72.196.18.158,omaha,NE,usa,home&garden,24.0,F
02-03-2012,http://www.acme.com/SH55126545/VD55166807,174.102.156.85,cedarburg,WI,usa,computers,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55170364,72.196.18.158,omaha,NE,usa,home&garden,24.0,F
02-03-2012,http://www.acme.com/SH55126545/VD55166807,174.102.156.85,cedarburg,WI,usa,computers,59.0,U
02-03-2012,http://www.acme.com/SH559040/VD55175948,71.165.113.166,glendora,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55165149,108.62.230.130,phoenix,AZ,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,66.108.189.135,new york,NY,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,216.160.122.82,seattle,WA,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,216.160.122.82,seattle,WA,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,216.160.122.82,seattle,WA,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,74.65.131.244,north yarmouth,ME,usa,handbags,54.0,F
02-03-2012,http://www.acme.com/SH5580165/VD55173281,165.155.196.101,brooklyn,NY,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,165.155.196.101,brooklyn,NY,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,168.20.255.144,athens,GA,usa,computers,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55166807,168.20.255.144,athens,GA,usa,computers,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55173061,66.108.189.135,new york,NY,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,174.102.156.85,cedarburg,WI,usa,home&garden,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,168.20.255.144,athens,GA,usa,electronics,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,168.20.255.144,athens,GA,usa,electronics,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,168.20.255.144,athens,GA,usa,electronics,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,168.20.255.144,athens,GA,usa,electronics,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,168.20.255.144,athens,GA,usa,electronics,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55170364,174.102.156.85,cedarburg,WI,usa,home&garden,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,168.20.255.144,athens,GA,usa,electronics,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55166807,168.20.255.144,athens,GA,usa,computers,21.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,108.62.230.130,phoenix,AZ,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,184.194.42.152,riverside,CA,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,74.240.34.88,brandon,MS,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,174.102.156.85,cedarburg,WI,usa,computers,59.0,U
02-03-2012,http://www.acme.com/SH559040/VD55175948,198.214.211.107,austin,TX,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,24.147.71.160,boston,MA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,66.108.189.135,new york,NY,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,162.119.238.162,los angeles,CA,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,162.119.238.162,los angeles,CA,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,174.102.156.85,cedarburg,WI,usa,computers,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55170364,174.102.156.85,cedarburg,WI,usa,home&garden,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55149415,76.91.65.114,thousand oaks,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,174.102.156.85,cedarburg,WI,usa,computers,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55166807,174.102.156.85,cedarburg,WI,usa,computers,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55173061,24.147.71.160,boston,MA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,198.214.211.107,austin,TX,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55165149,165.171.240.50,columbus,OH,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,66.108.189.135,new york,NY,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,72.196.18.158,omaha,NE,usa,home&garden,24.0,F
02-03-2012,http://www.acme.com/SH55126545/VD55170364,184.7.33.158,orrick,MO,usa,home&garden,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,174.102.156.85,cedarburg,WI,usa,computers,59.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55149415,162.119.238.162,los angeles,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55165149,64.118.123.193,mariposa,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55165149,64.118.123.193,mariposa,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55165149,64.118.123.193,mariposa,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,64.118.123.193,mariposa,CA,usa,computers,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,64.118.123.193,mariposa,CA,usa,computers,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55165149,64.118.123.193,mariposa,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,71.29.70.184,sheridan,AR,usa,handbags,53.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55165149,64.118.123.193,mariposa,CA,usa,electronics,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,76.91.65.114,thousand oaks,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,97.113.103.185,seattle,WA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,76.91.65.114,thousand oaks,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,97.113.103.185,seattle,WA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,76.91.65.114,thousand oaks,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,64.118.123.193,mariposa,CA,usa,computers,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,76.91.65.114,thousand oaks,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,71.29.70.184,sheridan,AR,usa,handbags,53.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55166807,64.118.123.193,mariposa,CA,usa,computers,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55177927,24.117.8.235,meridian,ID,usa,clothing,32.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,71.100.32.134,bradenton,FL,usa,clothing,38.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,69.22.239.204,new york,NY,usa,clothing,45.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,69.22.239.204,new york,NY,usa,clothing,45.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,208.126.218.131,oxford,IA,usa,clothing,41.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,208.126.218.131,oxford,IA,usa,clothing,41.0,M
07-03-2012,http://www.acme.com/SH5580165/VD55156528,76.248.201.76,flat rock,MI,usa,clothing,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,75.80.120.20,hawthorne,CA,usa,clothing,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55166807,184.19.196.119,martinsburg,WV,usa,computers,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55177927,69.22.239.204,new york,NY,usa,clothing,45.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,69.22.239.204,new york,NY,usa,clothing,45.0,F
07-03-2012,http://www.acme.com/SH5585921/VD55178554,71.213.146.132,albuquerque,NM,usa,clothing,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,208.126.218.131,oxford,IA,usa,clothing,41.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.207.167.77,velva,ND,usa,clothing,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,69.22.239.204,new york,NY,usa,clothing,45.0,F
07-03-2012,http://www.acme.com/SH5580165/VD55156528,67.186.229.162,orem,UT,usa,clothing,65.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55173061,184.39.165.50,charlotte,NC,usa,handbags,20.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,208.126.218.131,oxford,IA,usa,clothing,41.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,68.180.65.16,farmington,AR,usa,clothing,22.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,71.100.32.134,bradenton,FL,usa,clothing,38.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.207.167.77,velva,ND,usa,clothing,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,98.184.144.229,broken arrow,OK,usa,clothing,32.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55173061,69.134.165.210,chapel hill,NC,usa,handbags,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,68.180.65.16,farmington,AR,usa,clothing,22.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55173061,184.39.165.50,charlotte,NC,usa,handbags,20.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,67.83.184.98,hackensack,NJ,usa,clothing,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55177927,67.83.184.98,hackensack,NJ,usa,clothing,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55177927,128.54.189.176,la jolla,CA,usa,clothing,25.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,71.100.32.134,bradenton,FL,usa,clothing,38.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,71.100.32.134,bradenton,FL,usa,clothing,38.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,71.100.32.134,bradenton,FL,usa,clothing,38.0,M
07-03-2012,http://www.acme.com/,68.110.75.8,scottsdale,AZ,usa,books,0.0,0
07-03-2012,http://www.acme.com/SH559040/VD55175948,96.4.163.48,memphis,TN,usa,handbags,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55177927,75.80.120.20,hawthorne,CA,usa,clothing,0.0,0
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.196.112.28,mount pleasant,TX,usa,clothing,42.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55166807,66.43.237.196,clarence,IA,usa,computers,48.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55166807,66.43.237.196,clarence,IA,usa,computers,48.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.196.112.28,mount pleasant,TX,usa,clothing,42.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.196.112.28,mount pleasant,TX,usa,clothing,42.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.196.112.28,mount pleasant,TX,usa,clothing,42.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.196.112.28,mount pleasant,TX,usa,clothing,42.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.196.112.28,mount pleasant,TX,usa,clothing,42.0,F
07-03-2012,http://www.acme.com/SH5587637/VD55178699,156.3.28.32,los angeles,CA,usa,shoes,0.0,0
07-03-2012,http://www.acme.com/SH5587637/VD55178699,156.3.28.32,los angeles,CA,usa,shoes,0.0,0
07-03-2012,http://www.acme.com/SH5587637/VD55178699,156.3.28.32,los angeles,CA,usa,shoes,0.0,0
07-03-2012,http://www.acme.com/SH5580165/VD55156528,67.186.229.162,orem,UT,usa,clothing,65.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.207.167.77,velva,ND,usa,clothing,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55170364,108.0.127.252,long beach,CA,usa,home&garden,63.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,71.100.32.134,bradenton,FL,usa,clothing,38.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,74.207.167.77,velva,ND,usa,clothing,21.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,12.218.138.139,montgomery,AL,usa,clothing,37.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,12.218.138.139,montgomery,AL,usa,clothing,37.0,F
07-03-2012,http://www.acme.com/SH55126545/VD55177927,64.233.158.211,harrisburg,AR,usa,clothing,45.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55177927,64.233.158.211,harrisburg,AR,usa,clothing,45.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55170364,184.96.198.171,arvada,CO,usa,home&garden,32.0,M
07-03-2012,http://www.acme.com/SH55126545/VD55170364,184.96.198.171,arvada,CO,usa,home&garden,32.0,M
